Time,CenterOfMassX,CenterOfMassY,CenterOfMassZ,RotationAngle,WeightPositionX,WeightPositionY,WeightPositionZ
286.5008,-0.0119875,0.999056,0,52.68699,-0.1142125,0.992746,0
287.5011,-0.01198631,0.9990048,0,52.87778,-0.1141897,0.9923545,0
288.5016,-0.01198506,0.9989538,0,53.06859,-0.1141658,0.9919631,0
289.5075,-0.01198375,0.9989028,0,53.25941,-0.1141406,0.9915718,0
290.5085,-0.01198237,0.9988517,0,53.45023,-0.1141142,0.9911805,0
291.5107,-0.01198094,0.9988007,0,53.64104,-0.1140867,0.9907894,0
292.5111,-0.01197944,0.9987497,0,53.83184,-0.1140579,0.9903985,0
293.5114,-0.01197787,0.9986987,0,54.02262,-0.114028,0.9900076,0
294.5139,-0.01197625,0.9986479,0,54.21344,-0.1139969,0.989617,0
295.5141,-0.01197456,0.998597,0,54.40426,-0.1139645,0.9892263,0
296.5146,-0.01197282,0.9985459,0,54.59507,-0.113931,0.9888358,0
297.5149,-0.011971,0.998495,0,54.78589,-0.1138963,0.9884453,0
298.516,-0.01196913,0.9984442,0,54.9767,-0.1138604,0.9880551,0
299.5179,-0.01196719,0.9983933,0,55.16748,-0.1138233,0.9876649,0
300.5198,-0.0119652,0.9983425,0,55.3583,-0.113785,0.9872751,0
301.52,-0.01196314,0.9982915,0,55.54911,-0.1137455,0.986885,0
302.5205,-0.01196097,0.9982396,0,55.74373,-0.113704,0.9864874,0
303.5209,-0.01195878,0.998189,0,55.93454,-0.1136621,0.9860981,0
304.524,-0.01195654,0.9981382,0,56.12534,-0.1136191,0.9857087,0
305.524,-0.01195423,0.9980872,0,56.31616,-0.1135748,0.9853193,0
306.5247,-0.01195186,0.9980366,0,56.50698,-0.1135293,0.9849301,0
307.5254,-0.01194943,0.9979858,0,56.69778,-0.1134827,0.9845412,0
308.5255,-0.01194693,0.9979351,0,56.88858,-0.1134349,0.9841524,0
309.5256,-0.01194437,0.9978845,0,57.07939,-0.1133859,0.9837639,0
310.5284,-0.01194175,0.9978337,0,57.27018,-0.1133357,0.9833755,0
311.5351,-0.01193907,0.9977831,0,57.46099,-0.1132843,0.9829872,0
312.5374,-0.01193632,0.9977324,0,57.65182,-0.1132317,0.9825991,0
313.539,-0.01193352,0.9976819,0,57.84263,-0.1131779,0.9822114,0
314.5423,-0.01193059,0.9976304,0,58.03726,-0.1131218,0.9818161,0
315.5424,-0.01192766,0.9975799,0,58.22806,-0.1130657,0.9814286,0
316.5435,-0.01192468,0.9975293,0,58.41886,-0.1130084,0.9810413,0
317.5463,-0.01192162,0.997479,0,58.60968,-0.1129498,0.9806544,0
318.5469,-0.0119185,0.9974284,0,58.80048,-0.1128901,0.9802675,0
